Date,Monthly_Avg_Temp.x,Valid_Days.x,Monthly_Fertilizer_Use,TFP_Index,Capital_Index,Land_Q,Labor_Q,Fertilizer_Q,Cropland_Q,prep,Monthly_Avg_Temp.y,Valid_Days.y,Monthly_Production_tonnes,Yield_tonnes_per_hectare
2023-12-01,82.81084229,31,NA,NA,NA,NA,NA,NA,NA,6.86,82.81084229,31,65370,0.56820005
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-02-01,84.49034864,28,4223.5,100.9486,114.8214,8440.5211,5256.744,211098.0749,7662.126,30.25,84.49034864,28,121755,0.52820003
2019-12-01,82.79495074,29,10558.75,100.9486,114.8214,8440.5211,5256.744,211098.0749,7662.126,11.22,82.79495074,29,81170,0.52820003
2018-05-01,81.0656042,31,15080,98.7739,111.099,8300.4841,5249.199,150794.5948,7524.799,140.72,81.0656042,31,45235,0.52400005
2017-03-01,83.65079365,31,9898.7,94.7799,107.1265,8286.8362,5224.406,197963.9969,7514.858,43.64,83.65079365,31,96930,0.5201
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-10-01,80.71321045,31,NA,103.4212,125.8508,9110.7965,5472.259,202361.2441,8331.91,138.93,80.71321045,31,104738.5,0.5526
2023-04-01,83.26316138,30,NA,NA,NA,NA,NA,NA,NA,125.33,83.26316138,30,0,0.56820005
2019-03-01,84.18391534,30,10558.75,100.9486,114.8214,8440.5211,5256.744,211098.0749,7662.126,90.66,84.18391534,30,81170,0.52820003
2016-12-01,81.81770597,21,6156.35,97.4812,102.6672,7859.1965,4594.178,123120.2259,7084.676,21.36,81.81770597,21,85872,0.51000005
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-01,82.88530466,31,NA,100.1559,119.5205,8505.1825,5368.13,260440.4253,7726.296,10.33,82.88530466,31,120000,0.54170007
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-12-01,83.45924603,30,NA,103.4212,125.8508,9110.7965,5472.259,202361.2441,8331.91,9.85,83.45924603,30,104738.5,0.5526
2017-02-01,84.20311791,28,3959.48,94.7799,107.1265,8286.8362,5224.406,197963.9969,7514.858,18.33,84.20311791,28,145395,0.5201
2021-01-01,82.79102663,31,NA,103.4212,125.8508,9110.7965,5472.259,202361.2441,8331.91,6.75,82.79102663,31,157107.75,0.5526
2015-02-01,82.9401644,28,2658.34,100,100,7836.9582,4007.302,132913.1234,7060.118,67.66,82.9401644,28,128808,0.51000005
2018-02-01,84.64988662,28,3016,98.7739,111.099,8300.4841,5249.199,150794.5948,7524.799,56.26,84.64988662,28,135705,0.52400005
2017-12-01,81.51897081,31,9898.7,94.7799,107.1265,8286.8362,5224.406,197963.9969,7514.858,12.02,81.51897081,31,96930,0.5201
2020-09-01,78.93347884,30,NA,100.1559,119.5205,8505.1825,5368.13,260440.4253,7726.296,224.58,78.93347884,30,0,0.54170007
