Month,Monthly_Avg
1994-10-01,1447.9609523809524
1994-11-01,1436.9804545454544
1994-12-01,1399.3904761904762
1995-01-01,1468.818095238095
1995-02-01,1510.4375
1995-03-01,1484.9360869565216
1995-04-01,1469.1968421052632
1995-05-01,1445.3527272727272
1995-06-01,1437.17
1995-07-01,1364.0133333333333
1995-08-01,1412.9778260869564
1995-09-01,1396.902380952381
1995-10-01,1394.58
1995-11-01,1436.5590909090909
1995-12-01,1378.81
1996-01-01,1349.5413636363637
1996-02-01,1369.8395238095238
1996-03-01,1338.6009523809523
1996-04-01,1456.2795238095239
1996-05-01,1524.0204545454544
1996-06-01,1537.5725
1996-07-01,1495.68
1996-08-01,1499.8831818181818
1996-09-01,1476.2790476190476
1996-10-01,1476.9804347826087
1996-11-01,1469.277142857143
1996-12-01,1474.384
1997-01-01,1428.4795454545454
1997-02-01,1372.742
1997-03-01,1523.6395
1997-04-01,1571.0095454545453
1997-05-01,1568.2957142857142
1997-06-01,1688.334761904762
1997-07-01,1677.2665217391304
1997-08-01,1652.1214285714286
1997-09-01,1769.7450000000001
1997-10-01,1741.384347826087
1997-11-01,1694.7575
1997-12-01,1737.240476190476
1998-01-01,1668.147
1998-02-01,1640.835
1998-03-01,1719.2122727272726
1998-04-01,1726.4952380952382
1998-05-01,1794.4185
1998-06-01,1721.8936363636362
1998-07-01,1712.2252173913043
1998-08-01,1683.684761904762
1998-09-01,1687.3154545454545
1998-10-01,1646.429090909091
1998-11-01,1594.9057142857143
1998-12-01,1514.8463636363635
1999-01-01,1455.232
1999-02-01,1408.4655
1999-03-01,1313.2439130434782
1999-04-01,1186.1595238095238
1999-05-01,1062.5645
1999-06-01,1161.8331818181819
1999-07-01,1113.3936363636362
1999-08-01,1056.3772727272726
1999-09-01,1061.375909090909
1999-10-01,1021.4861904761905
1999-11-01,922.4631818181819
1999-12-01,918.675
2000-01-01,917.7138095238096
2000-02-01,859.125238095238
2000-03-01,932.8795652173912
2000-04-01,911.3642105263158
2000-05-01,908.8640909090909
