Month,Monthly_Avg_Temp,Valid_Days
1990-01-01,81.48333333333333,30
1990-02-01,82.17261904761905,28
1990-03-01,84.72311827956989,31
1990-04-01,82.10344827586206,29
1990-05-01,81.01881720430107,31
1990-06-01,80.38277777777778,30
1990-07-01,76.48306878306879,27
1990-08-01,76.11370967741935,31
1990-09-01,78.04166666666667,22
1990-10-01,79.99381720430108,31
1990-11-01,81.5038888888889,30
1990-12-01,81.53,30
1991-01-01,83.29032258064517,31
1991-02-01,83.10648148148148,24
1991-03-01,83.60303030303031,22
1991-04-01,81.9920634920635,30
1991-05-01,81.365,30
1991-06-01,80.60141941391942,26
1991-07-01,77.97790578597031,31
1991-08-01,77.05277777777778,30
1991-09-01,79.40925925925926,27
1991-10-01,78.98444444444445,30
1991-11-01,80.79617346938775,28
1991-12-01,80.84761904761905,20
1992-01-01,80.40416666666667,28
1992-02-01,83.56172839506173,27
1992-03-01,83.23440860215054,31
1992-04-01,83.87593984962406,19
1992-05-01,82.42564102564103,13
1992-06-01,77.47416666666666,20
1992-07-01,76.17301587301587,21
1992-08-01,76.86730769230769,26
1992-09-01,78.19791666666667,16
1992-10-01,80.51726190476191,28
1992-11-01,81.17407407407407,18
1992-12-01,81.04702380952381,28
1993-01-01,80.72420634920636,24
1993-02-01,83.52536231884058,23
1993-03-01,81.73550724637681,23
1993-04-01,81.03030303030303,11
1993-05-01,82.69299719887955,17
1993-06-01,79.57444444444444,30
1993-07-01,77.15779967159277,29
1993-08-01,76.73289682539682,30
1993-09-01,78.10501700680273,28
1993-10-01,81.02877846790891,23
1993-11-01,81.54732142857142,28
1993-12-01,81.89537037037037,30
1994-01-01,81.15752688172043,31
1994-02-01,83.18502747252748,26
1994-03-01,83.47764976958526,31
1994-04-01,83.11166666666666,30
1994-05-01,81.50693027210885,28
1994-06-01,78.55555555555556,3
1994-07-01,76.89642857142857,28
1994-08-01,77.21011904761905,30
1994-09-01,78.02527777777777,30
1994-10-01,79.40956959706959,26
1994-11-01,81.89396551724138,29
1995-01-01,85,1
1995-02-01,84.32202380952381,14
1995-03-01,82.4663929939792,29
1995-04-01,82.89457142857142,25
1995-05-01,82.53522727272727,22
1995-06-01,79.82004830917874,23
1995-07-01,78.13789682539682,12
1995-08-01,77.84722222222223,11
1995-09-01,78.44318181818181,11
1995-10-01,77.8,5
1995-11-01,83,4
1995-12-01,81.14285714285714,7
1996-01-01,82.16666666666667,6
1996-02-01,84.28571428571429,7
1996-03-01,84,8
1996-04-01,83.66666666666667,3
1996-05-01,80.69111111111111,15
1996-06-01,79.08928571428571,14
1996-07-01,77.01166666666667,30
1996-08-01,76.54938271604938,27
1996-09-01,76.49298245614035,19
1996-10-01,80,9
1996-11-01,81.09950396825397,24
1996-12-01,80.07971014492753,23
1997-01-01,81.17760141093474,27
1997-02-01,83.13333333333334,19
1997-03-01,83.38777777777779,30
1997-04-01,81.83380952380952,30
1997-05-01,80.88594470046083,31
1997-06-01,78.79880952380952,30
1997-07-01,77.10487711213517,31
1997-08-01,77.18920068027211,28
1997-09-01,78.99130952380952,30
1997-10-01,80.59380952380953,30
1997-11-01,81.97409523809523,25
1997-12-01,81.91666666666667,22
1998-01-01,82.00087719298246,19
1998-02-01,85.44567901234568,27
1998-03-01,86.64583333333333,28
1998-04-01,85.49444444444444,30
1998-05-01,82.92089093701998,31
1998-06-01,80.33994708994709,27
1998-07-01,78.39784946236558,31
1998-08-01,77.38939393939394,22
1998-09-01,78.55277777777778,30
1998-10-01,80.54333333333334,30
1998-11-01,83.03611111111111,30
1998-12-01,82.81,30
1999-01-01,81.97916666666667,28
1999-02-01,83.26296296296296,27
1999-03-01,83.73333333333333,30
1999-04-01,83.22222222222223,18
1999-05-01,82.41728395061729,27
1999-06-01,80.63725490196079,17
1999-07-01,78.39015151515152,22
1999-08-01,79.5,2
1999-09-01,77.23333333333333,5
1999-10-01,82,1
1999-11-01,83,2
1999-12-01,82.52380952380952,7
2000-01-01,82.61282051282052,26
2000-02-01,86,2
2000-03-01,84.06,25
2000-04-01,83.93333333333334,15
2000-05-01,82.1,20
2000-06-01,79.61728395061728,27
2000-07-01,77.65,30
2000-08-01,76.93650793650794,21
2000-09-01,78.33333333333333,24
2000-10-01,79.875,4
2000-11-01,81.74886621315193,21
2000-12-01,81.77586206896552,29
2001-01-01,81.84821428571429,28
2001-02-01,82.69565217391305,23
2001-03-01,83.16935483870968,31
2001-04-01,83.07471264367815,29
2001-05-01,82.61538461538461,26
2001-06-01,79.5,22
2001-07-01,77.81481481481481,27
2001-08-01,76.80645161290323,31
2001-09-01,76.77777777777777,9
2001-11-01,82,1
2002-01-01,82,3
2002-02-01,83.77186147186147,22
2002-03-01,84.07222222222222,15
2002-04-01,83.94642857142857,14
2002-05-01,82.89,30
2002-06-01,79.54166666666667,24
2002-07-01,79.4,15
2002-08-01,77.66666666666667,15
2002-09-01,78,14
2002-10-01,80.79166666666667,24
2002-11-01,81.67777777777778,30
2002-12-01,81.60913978494624,31
2003-01-01,81.6600614439324,31
2003-02-01,83.42015873015873,15
2003-03-01,84.35215053763442,31
2003-04-01,82.67413793103448,29
2003-05-01,82.81720430107526,31
2003-06-01,79.05944444444444,30
2003-07-01,78.2483870967742,31
2003-08-01,77.41482334869431,31
2003-09-01,79.01571428571428,30
2003-10-01,80.8763440860215,31
2003-11-01,81.62944444444445,30
2003-12-01,81.842089093702,31
2004-01-01,81.70698924731182,31
2004-02-01,82.80753968253968,18
2004-03-01,83.87711213517665,31
