"Entity","Code","Year","Cocoa.beans...00000661....Production...005510....tonnes"
"Ghana","GHA",2015,858720
"Ghana","GHA",2016,858720
"Ghana","GHA",2017,969300
"Ghana","GHA",2018,904700
"Ghana","GHA",2019,811700
"Ghana","GHA",2020,8e+05
"Ghana","GHA",2021,1047385
"Ghana","GHA",2022,683300
"Ghana","GHA",2023,653700
