STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-03-14,NA,85,NA,NA
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-03-15,NA,87,NA,79
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-03-16,0,86,93,NA
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-03-17,NA,86,NA,NA
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-03-18,NA,85,NA,NA
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-03-19,NA,81,NA,NA
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-03-20,NA,86,94,NA
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-03-21,NA,84,NA,NA
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-03-22,NA,82,NA,79
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-03-23,NA,84,NA,79
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-03-24,NA,85,93,79
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-03-25,NA,85,NA,80
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-03-26,NA,87,NA,80
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-03-27,0,85,93,79
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-03-28,NA,86,92,79
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-03-29,0,85,93,80
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-03-30,0,86,93,NA
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-03-31,0.08,85,NA,71
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-04-01,0,85,NA,NA
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-04-02,0.08,78,NA,75
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-04-03,2.36,81,91,73
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-04-04,0,82,92,NA
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-04-05,NA,82,NA,NA
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-04-06,NA,85,92,NA
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-04-07,NA,83,90,NA
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-04-08,0,84,90,78
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-04-09,NA,81,NA,NA
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-04-11,NA,84,NA,NA
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-04-12,NA,85,92,78
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-04-13,NA,84,92,NA
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-04-14,NA,85,94,78
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-04-15,NA,85,94,NA
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-04-16,NA,81,NA,NA
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-04-17,NA,80,90,NA
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-04-18,0,84,93,77
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-04-19,0,83,92,NA
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-04-20,0,80,NA,NA
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-04-21,NA,84,92,75
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-04-22,NA,86,92,78
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-04-23,1.57,78,NA,72
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-04-24,2.13,83,92,74
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-04-25,0.24,79,NA,72
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-04-26,0.04,80,NA,73
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-04-27,0,83,90,70
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-04-28,NA,83,90,76
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-04-29,0.12,82,NA,NA
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-04-30,0,81,90,78
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-05-01,0.63,81,87,72
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-05-02,0,81,NA,77
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-05-03,NA,84,90,77
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-05-04,NA,75,NA,NA
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-05-05,0.35,78,NA,71
